Grade Level,Subject,TEK,STANDARD
High School,Algebra I,1(A),"apply mathematics to problems arising in everyday life, society, and the workplace"
High School,Algebra I,1(B),"use a problem-solving model that incorporates analyzing given information, formulating a plan or strategy, determining a solution, justifying the solution, and evaluating the problem-solving process and the reasonableness of the solution"
High School,Algebra I,1(C),"select tools, including real objects, manipulatives, paper and pencil, and technology as appropriate, and techniques, including mental math, estimation, and number sense as appropriate, to solve problems"
High School,Algebra I,1(D),"communicate mathematical ideas, reasoning, and their implications using multiple representations, including symbols, diagrams, graphs, and language as appropriate"
High School,Algebra I,1(E),"create and use representations to organize, record, and communicate mathematical ideas"
High School,Algebra I,1(F),analyze mathematical relationships to connect and communicate mathematical ideas; and
High School,Algebra I,1(G),"display, explain, and justify mathematical ideas and arguments using precise mathematical language in written or oral communication"
High School,Algebra I,2(A),"determine the domain and range of a linear function in mathematical problems; determine reasonable domain and range values for real-world situations, both continuous and discrete; and represent domain and range using inequalities"
High School,Algebra I,2(B),"write linear equations in two variables in various forms, including y = mx + b, Ax + By = C, and y - y1 = m(x - x1), given one point and the slope and given two points"
High School,Algebra I,2(C),"write linear equations in two variables given a table of values, a graph, and a verbal description"
High School,Algebra I,2(D),write and solve equations involving direct variation
High School,Algebra I,2(E),write the equation of a line that contains a given point and is parallel to a given line
High School,Algebra I,2(F),write the equation of a line that contains a given point and is perpendicular to a given line
High School,Algebra I,2(G),write an equation of a line that is parallel or perpendicular to the X or Y axis and determine whether the slope of the line is zero or undefined;
High School,Algebra I,2(H),"write linear inequalities in two variables given a table of values, a graph, and a verbal description; and"
High School,Algebra I,2(I),"write systems of two linear equations given a table of values, a graph, and a verbal description"
High School,Algebra I,3(A),"determine the slope of a line given a table of values, a graph, two points on the line, and an equation written in various forms, including y = mx + b, Ax + By = C, and y - y1 = m(x - x1)"
High School,Algebra I,3(B),"calculate the rate of change of a linear function represented tabularly, graphically, or algebraically in context of mathematical and real-world problems"
High School,Algebra I,3(C),"graph linear functions on the coordinate plane and identify key features, including x-intercept, y-intercept, zeros, and slope, in mathematical and real-world problems"
